p_nr,p_name_keyword,p_name_proper,p_text,p_brand,p_cluster{0},p_comp[leg length],p_comp[compostion],p_comp[material],p_comp[care instructions],p_comp[producttype],p_tag[agegroup]{0},p_tag[gender]{0},p_tag[season]{0},p_tag[sizegrid]{0},p_tag[style]{0},p_bullet{0},p_bullet{1},p_bullet{2},p_bullet{3},p_bullet{4},a_nr,a_prodnr,a_ean,a_comp[color],a_comp[size],a_vk[zafn],a_vk_old[zafn],a_active[zafn],a_active
6562,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"56% Nylon, 36% Polyester, 8% Elastane","Nylon, Polyester","30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_SM_ORG_6563,8.72073E+12,8.72073E+12,Orange,S,"57,00","67,00",1,1
6553,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"54% Nylon, 34% Polyester, 12% Elastane","Nylon, Polyester","30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_MD_PI_6553,8.72073E+12,8.72073E+12,Ombre Pink,M,"57,00","67,00",1,1
6553,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"54% Nylon, 34% Polyester, 12% Elastane","Nylon, Polyester","30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_SM_PI_6554,8.72073E+12,8.72073E+12,Ombre Pink,S,"57,00","67,00",1,1
6533,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"58% Polyamide, 36% Polyester, 6% Elastane","Polyamide, Polyester","30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_MD_GRY_6533,8.72073E+12,8.72073E+12,Grey,M,"57,00","67,00",1,1
6533,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"58% Polyamide, 36% Polyester, 6% Elastane","Polyamide, Polyester","30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_SM_GRY_6534,8.72073E+12,8.72073E+12,Grey,S,"57,00","67,00",1,1
6522,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"92% Polyester, 8% Spandex",Polyester,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_MD_BLK_6522,8.72073E+12,8.72073E+12,Zebra print,M,"57,00","67,00",1,1
6522,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"92% Polyester, 8% Spandex",Polyester,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_SM_BLK_6523,8.72073E+12,8.72073E+12,Zebra print,S,"57,00","67,00",1,1
6511,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"92% Polyamide, 8% Elastane",Polyamide,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_MD_LGRY_6511,8.72073E+12,8.72073E+12,Light Grey,M,"57,00","67,00",1,1
6511,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"92% Polyamide, 8% Elastane",Polyamide,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_XS_LGRY_6513,8.72073E+12,8.72073E+12,Light Grey,XS,"57,00","67,00",1,1
6484,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"95% Nylon, 5% Spandex",Nylon,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [XS-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_MD_BL_6484,8.72073E+12,8.72073E+12,Blue,M,"57,00","67,00",1,1
